time_y,drainage_area_m2,depr_area_m2,depr_depth_m,depr_perimeter_m,debr_removed_m3
3.267999999999999972e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.484359364158478911e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.268500000000000227e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.486676129701265836e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.268999999999999773e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.488927545334036040e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.269500000000000028e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.491114555461876989e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.270000000000000284e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.493238091852163052e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.270499999999999829e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.495299073799401413e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.271000000000000085e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.497298408281551474e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.271500000000000341e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.499236990131976199e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.271999999999999886e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.501115702195761514e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.272500000000000142e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.502935415484614623e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.273000000000000398e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.504696989340288837e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.273499999999999943e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.506401271580955381e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.274000000000000199e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.508049098653259534e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.274499999999999744e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.509641295788640036e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.275000000000000000e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.511178677144016547e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.275500000000000256e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.512665267287445658e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.275999999999999801e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.514101828183640919e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.276500000000000057e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.515489111069541650e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.277000000000000313e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.516827856589316070e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.277499999999999858e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.518118794946417438e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.278000000000000114e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.519362646049955856e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.278500000000000369e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.520560119662491161e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.278999999999999915e+01,1.599000000000000000e+03,1.100000000000000000e+02,9.521711915526509529e-02,5.600000000000000000e+01,1.999374902313220557e-04
3.279500000000000171e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.522818723526427220e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.279999999999999716e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.523881253686283799e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.280499999999999972e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.524900178743678225e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.281000000000000227e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.525876161971780220e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.281499999999999773e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.526809857312912300e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.282000000000000028e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.527701909507868550e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.282500000000000284e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.528552954226654492e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.282999999999999829e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.529363618192121521e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.283500000000000085e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.530134519303601337e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.284000000000000341e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.530866266764803640e-02,5.600000000000000000e+01,2.009353129741012385e-04
