time(y),mp_elev(m),dep_area(m^2)
29.200000000000003,1.9824092986753215,1614.0
29.400000000000002,1.9770650631525655,1622.0
29.6,1.9716477403726458,1626.0
29.8,1.9661582684096572,1638.0
30.0,1.9605975797875175,1642.0
30.200000000000003,1.9549666017108507,1642.0
30.400000000000002,1.9493246791283525,1653.0
30.6,1.9438827509614356,1659.0
30.8,1.9383765776533437,1667.0
31.0,1.9328068644090166,1677.0
31.200000000000003,1.9271743107905905,1683.0
31.400000000000002,1.9214796112641892,1689.0
31.6,1.9157234557060008,1691.0
31.8,1.9099065298679676,1699.0
32.0,1.904029515804467,1701.0
32.2,1.8980930922609929,1703.0
32.4,1.892097935025859,1707.0
32.6,1.8860447172464063,1713.0
32.800000000000004,1.879934109710618,1717.0
33.0,1.8737667810949716,1723.0
33.2,1.8675433981733818,1729.0
33.4,1.8612646259986576,1733.0
33.6,1.854931128071641,1741.0
33.800000000000004,1.8485435664766925,1743.0
34.0,1.8422146219296565,1750.0
34.2,1.8360212767034767,1761.0
34.4,1.829778550685674,1765.0
34.6,1.823486942420132,1775.0
34.800000000000004,1.8171469489358998,1779.0
35.0,1.810759066122145,1787.0
35.2,1.804323789078154,1791.0
35.4,1.7978416124388872,1801.0
35.6,1.7913130306765623,1807.0
35.800000000000004,1.784738538378761,1811.0
36.0,1.7781186305035703,1813.0
36.2,1.7714538026125126,1819.0
36.4,1.7647445510816908,1823.0
36.6,1.7579913732913326,1833.0
36.800000000000004,1.751194767790011,1835.0
37.0,1.744355234441059,1843.0
37.2,1.7374732745630581,1851.0
37.4,1.7305493910476315,1851.0
37.6,1.7235878112841618,1860.0
37.800000000000004,1.7168572567232019,1862.0
38.0,1.7100885984757923,1878.0
38.2,1.7032822205174512,1884.0
38.400000000000006,1.6964385084235118,1888.0
38.6,1.6895578496512513,1888.0
38.800000000000004,1.6826406338049367,1892.0
39.0,1.6756872528836766,1898.0
39.2,1.668698101512561,1902.0
39.400000000000006,1.6616735771569608,1904.0
39.6,1.654614080320684,1906.0
39.800000000000004,1.647520014727931,1918.0
40.0,1.6403917874896194,1922.0
40.2,1.6332298092540043,1930.0
40.400000000000006,1.626034494340871,1932.0
40.6,1.6188062608564593,1940.0
40.800000000000004,1.6115455308026867,1952.0
41.0,1.6042527301756593,1952.0
41.2,1.596928289046872,1958.0
41.400000000000006,1.5895952723077755,1960.0
41.6,1.5824636863483477,1968.0
41.800000000000004,1.5753036909878801,1976.0
42.0,1.5681156317858154,1984.0
42.2,1.5608998584459357,1988.0
42.400000000000006,1.5536567250018294,1996.0
42.6,1.546386589988316,2004.0
42.800000000000004,1.5390898165990023,2006.0
43.0,1.5317667728297124,2012.0
43.2,1.5244178316082468,2022.0
43.400000000000006,1.517043370910386,2030.0
43.6,1.509643773862436,2038.0
43.800000000000004,1.5022194288303865,2042.0
44.0,1.4947707294957553,2046.0
44.2,1.4872980749176037,2052.0
44.400000000000006,1.4798018695782957,2052.0
44.6,1.4722825234218533,2056.0
44.800000000000004,1.464740451884154,2062.0
45.0,1.4571760759080092,2068.0
45.2,1.4495898219459349,2068.0
45.400000000000006,1.4421227677179047,2071.0
45.6,1.4347309792581484,2079.0
45.800000000000004,1.4273201894479541,2083.0
46.0,1.419890764258696,2089.0
46.2,1.4124430750291452,2091.0
46.400000000000006,1.4049774985263213,2099.0
46.6,1.3974944169941637,2107.0
46.800000000000004,1.3899942181900968,2111.0
47.0,1.3824772954095437,2121.0
47.2,1.3749440474987153,2129.0
47.400000000000006,1.3673948788555919,2135.0
47.6,1.3598301994195197,2147.0
47.800000000000004,1.3522504246495402,2153.0
48.0,1.3446559754914489,2155.0
48.2,1.3370472783325908,2159.0
48.400000000000006,1.329424764944406,2163.0
48.6,1.3217888724205409,2165.0
48.800000000000004,1.314140043105084,2169.0
49.0,1.3064787245091622,2173.0
